hhno,pno,tour,pdpurp,half,tseg,mode,autotime,transittime,biketime,walktime,travcost
10,1,1,1,1,1,2,0,0,30,0,1.2
10,1,1,1,2,1,2,0,0,30,0,1.2
10,1,1,1,2,2,3,3,0,0,0,0.1
10,1,2,3,1,1,4,30,0,0,0,2.8
10,1,2,3,2,1,3,30,0,0,0,2.8
10,1,2,3,2,2,4,3,0,0,0,0.1
10,1,3,4,1,1,4,6,0,0,0,0.4
10,1,3,4,2,1,4,6,0,0,0,0.4
20,1,1,5,1,1,3,34,0,0,0,3.2
20,1,1,5,1,2,3,3,0,0,0,0.1
20,1,1,5,2,1,3,34,0,0,0,3.2
20,1,1,5,2,2,3,3,0,0,0,0.1
20,2,1,6,1,1,4,3,0,0,0,0.1
20,2,1,6,2,1,4,3,0,0,0,0.1
40,1,1,1,1,1,3,18,0,0,0,1.6
40,1,1,1,1,2,3,3,0,0,0,0.1
40,1,1,1,2,1,3,18,0,0,0,1.6
40,1,1,1,2,2,3,3,0,0,0,0.1
40,1,1,1,2,3,3,3,0,0,0,0.1
40,2,1,1,1,1,4,26,0,0,0,2.4
40,2,1,1,1,2,3,3,0,0,0,0.1
40,2,1,1,2,1,3,26,0,0,0,2.4
40,2,2,3,1,1,6,0,16,0,10,2.4
40,2,2,3,2,1,6,0,16,0,10,2.4
40,3,1,3,1,1,5,3,0,0,0,0.1
40,3,1,3,1,2,5,3,0,0,0,0.1
40,3,1,3,2,1,4,3,0,0,0,0.1
40,3,1,3,2,2,5,3,0,0,0,0.1
40,4,1,4,1,1,4,10,0,0,0,0.8
40,4,1,4,2,1,4,10,0,0,0,0.8
40,5,1,3,1,1,5,26,0,0,0,2.4
40,5,1,3,2,1,3,26,0,0,0,2.4
40,5,1,3,2,2,3,3,0,0,0,0.1
40,5,1,3,2,3,5,3,0,0,0,0.1
40,5,2,4,1,1,4,3,0,0,0,0.1
40,5,2,4,2,1,4,3,0,0,0,0.1
40,5,3,5,1,1,4,10,0,0,0,0.8
40,5,3,5,2,1,4,10,0,0,0,0.8
40,6,1,7,1,1,4,10,0,0,0,0.8
40,6,1,7,1,2,3,3,0,0,0,0.1
40,6,1,7,2,1,4,10,0,0,0,0.8
40,6,1,7,2,2,4,3,0,0,0,0.1
40,6,2,7,1,1,5,3,0,0,0,0.1
40,6,2,7,1,2,5,3,0,0,0,0.1
40,6,2,7,2,1,5,3,0,0,0,0.1
50,1,1,6,1,1,5,6,0,0,0,0.4
50,1,1,6,2,1,5,6,0,0,0,0.4
50,1,1,6,2,2,4,3,0,0,0,0.1
50,2,1,1,1,1,5,6,0,0,0,0.4
50,2,1,1,2,1,5,6,0,0,0,0.4
50,2,1,1,2,2,5,3,0,0,0,0.1
50,2,2,1,1,1,3,6,0,0,0,0.4
50,2,2,1,1,2,5,3,0,0,0,0.1
50,2,2,1,1,3,5,3,0,0,0,0.1
50,2,2,1,1,4,5,3,0,0,0,0.1
50,2,2,1,2,1,5,6,0,0,0,0.4
50,3,1,2,1,1,5,6,0,0,0,0.4
50,3,1,2,2,1,5,6,0,0,0,0.4
50,3,2,5,1,1,5,14,0,0,0,1.2
50,3,2,5,2,1,5,14,0,0,0,1.2
60,1,1,1,1,1,3,18,0,0,0,1.6
60,1,1,1,2,1,3,18,0,0,0,1.6
60,1,1,1,2,2,3,3,0,0,0,0.1
60,1,1,1,2,3,3,3,0,0,0,0.1
60,1,1,1,2,4,3,3,0,0,0,0.1
60,1,2,7,1,1,3,18,0,0,0,1.6
60,1,2,7,2,1,3,18,0,0,0,1.6
60,2,1,5,1,1,4,10,0,0,0,0.8
60,2,1,5,2,1,4,10,0,0,0,0.8
70,1,1,1,1,1,3,22,0,0,0,2
70,1,1,1,2,1,3,22,0,0,0,2
70,2,1,1,1,1,3,6,0,0,0,0.4
70,2,1,1,2,1,3,6,0,0,0,0.4
70,3,1,2,1,1,5,22,0,0,0,2
70,3,1,2,1,2,4,3,0,0,0,0.1
70,3,1,2,2,1,5,22,0,0,0,2
80,1,1,3,1,1,5,26,0,0,0,2.4
80,1,1,3,2,1,3,26,0,0,0,2.4
80,1,2,3,1,1,3,3,0,0,0,0.1
80,1,2,3,2,1,3,3,0,0,0,0.1
80,1,2,3,2,2,3,3,0,0,0,0.1
80,1,3,3,1,1,5,18,0,0,0,1.6
80,1,3,3,2,1,4,18,0,0,0,1.6
80,2,1,4,1,1,3,10,0,0,0,0.8
80,2,1,4,1,2,3,3,0,0,0,0.1
80,2,1,4,2,1,3,10,0,0,0,0.8
80,2,2,7,1,1,3,10,0,0,0,0.8
80,2,2,7,2,1,3,10,0,0,0,0.8
80,3,1,2,1,1,5,26,0,0,0,2.4
80,3,1,2,2,1,5,26,0,0,0,2.4
80,4,1,2,1,1,8,24,0,0,0,0
80,4,1,2,2,1,8,24,0,0,0,0
90,1,1,1,1,1,3,14,0,0,0,1.2
90,1,1,1,2,1,3,14,0,0,0,1.2
90,1,1,1,2,2,3,3,0,0,0,0.1
90,1,2,1,1,1,3,14,0,0,0,1.2
90,1,2,1,1,2,4,3,0,0,0,0.1
90,1,2,1,2,1,3,14,0,0,0,1.2
90,1,3,3,1,1,4,14,0,0,0,1.2
90,1,3,3,1,2,4,3,0,0,0,0.1
90,1,3,3,2,1,3,14,0,0,0,1.2
90,1,4,5,1,1,3,6,0,0,0,0.4
90,1,4,5,2,1,3,6,0,0,0,0.4
90,2,1,1,1,1,3,6,0,0,0,0.4
90,2,1,1,2,1,3,6,0,0,0,0.4
90,2,1,1,2,2,3,3,0,0,0,0.1
90,2,2,4,1,1,5,6,0,0,0,0.4
90,2,2,4,2,1,5,6,0,0,0,0.4
90,2,2,4,2,2,3,3,0,0,0,0.1
90,3,1,2,1,1,8,84,0,0,0,0
90,3,1,2,2,1,8,84,0,0,0,0
90,3,1,2,2,2,4,3,0,0,0,0.1
90,4,1,2,1,1,4,6,0,0,0,0.4
90,4,1,2,1,2,4,3,0,0,0,0.1
90,4,1,2,2,1,4,6,0,0,0,0.4
90,4,1,2,2,2,4,3,0,0,0,0.1
90,5,1,3,1,1,5,30,0,0,0,2.8
90,5,1,3,1,2,5,3,0,0,0,0.1
90,5,1,3,2,1,5,30,0,0,0,2.8
90,5,1,3,2,2,5,3,0,0,0,0.1
90,5,2,3,1,1,4,14,0,0,0,1.2
90,5,2,3,1,2,1,0,0,0,10,0
90,5,2,3,2,1,5,14,0,0,0,1.2
100,1,1,4,1,1,3,3,0,0,0,0.1
100,1,1,4,2,1,3,3,0,0,0,0.1
100,1,2,4,1,1,3,26,0,0,0,2.4
100,1,2,4,2,1,3,26,0,0,0,2.4